extraversion,agreeableness,conscientiousness,neuroticism,openness,loneliness
6.5,6,6,2.5,7,23.5
5,6,6.5,4,6.5,35
4.5,6,6.5,3.5,6,18.5
3.5,6,5,4,4,19.5
3.5,4.5,5,4.5,4.5,27.5
5.5,4,4,5.5,5.5,26.5
2,6.5,5,4.5,6,12
4,3.5,5,5,4.5,33
2.5,5,5.5,3.5,4.5,29.5
5,3.5,6.5,2.5,6.5,28
4,4.5,5.5,3.5,4.5,31
5.5,4.5,6,6,6.5,33.5
3.5,5.5,6,5,5,22.5
5.5,6.5,3,2.5,5,29.5
3.5,4.5,3.5,6.5,6,21.5
3,4,2.5,3.5,4.5,20
3,6,5,5,6.5,13
3,3,4.5,6.5,5,32
3,4,4.5,6,5.5,33
4.5,5.5,3.5,3,6.5,23.5
4.5,4,3.5,4.5,3,28.5
5,5,6,2.5,4.5,30
4,5.5,5.5,3.5,6,34
5,6,6,4,5.5,20
3.5,5,6,4.5,4.5,21.5
3,6,3,5.5,3.5,19
6,4.5,5,4.5,4.5,17
6,3,3.5,5,4.5,32
6.5,6.5,6.5,2,7,30.5
3,5,7,5.5,5,15
2.5,3,5,4.5,6,25.5
5.5,6.5,7,2.5,5.5,28.5
3,5,4,6.5,5,13
6.5,5.5,5.5,3.5,6,18.5
6.5,5.5,4,4,5.5,25.5
5,7,6,1.5,6,20
2.5,3,3.5,6,5.5,32.5
5,3,5.5,3.5,6,29
2,7,7,3.5,5,22
6.5,5.5,6.5,4.5,6,32.5
4,5,7,4,6,14
3.5,5,4.5,4.5,5.5,16.5
3,6.5,4.5,3.5,3.5,33
5,6.5,7,2,6,26
3,3.5,5.5,4.5,4.5,23
3.5,4.5,5,3.5,3,22.5
4,5.5,5,3.5,5,30
5.5,4.5,6,5,6.5,21.5
3,6.5,5,5,4.5,16
3.5,5,6,2,4.5,24.5
6,5.5,3.5,5,5,35
6.5,6.5,6.5,1.5,4.5,32.5
3,4.5,4,5,6,20
4,5.5,6,2.5,5,15
5.5,4.5,5.5,4,6.5,18.5
4,4.5,2.5,4.5,5.5,28
3.5,6.5,5,4,5,24.5
5,5.5,4,3,7,32
6,5,4.5,4.5,5,18
4.5,5,3.5,3.5,6,28.5
4.5,3.5,6,3.5,5,21.5
5,4,4.5,4,5,16
5,4.5,4.5,4.5,6,29
2,5,5.5,5,5.5,30
5,4,1,3.5,5,35
2.5,6,4.5,4.5,5.5,30.5
1.5,4,6.5,7,4,17.5
4.5,5.5,5.5,3.5,4.5,23.5
4,5.5,6,3,5,26
5,5.5,4.5,4.5,6,17
5.5,5.5,5,5,5,19.5
3,4,5.5,5,5,20
6,4,4,3,4.5,28
6,5.5,5.5,4,7,33
2.5,4.5,6,4,4,23.5
