ID,extraversion,agreeableness,conscientiousness,neuroticism,openness,loneliness
P1,4,4,6,2,3,3
P2,6,4,3,1,6,2.4
P3,6,6,7,6,7,1.45
P4,5,3,5,4,4,1.65
P5,6,6,5,1,6,2.9
P6,5,3,4,4,4,1.95
P7,3,4,6,3,7,1.45
P8,6,6,7,6,6,1.75
P9,3,3,5,3,6,2.5
P10,4,6,7,5,7,1.6
P11,2,3,4,2,5,3.05
P12,7,5,6,4,6,1.9
P13,6,5,6,3,6,1.8
P14,6,3,5,3,4,2.2
P15,6,2,5,6,7,1.1
P16,3,6,2,2,6,3
P17,2,2,7,1,7,2.25
P18,2,3,2,2,6,3.2
P19,5,3,7,7,5,1.2
P20,7,5,7,4,5,1.25
P21,3,6,7,1,6,1.85
P22,6,5,6,6,6,1.45
P23,6,5,7,4,5,1.25
P24,6,5,5,5,7,3.25
P25,7,5,5,4,7,3.05
P26,6,3,6,1,6,2.3
P27,3,3,5,3,7,1.65
P28,3,6,2,6,3,2.25
P29,2,6,5,3,6,2
P30,3,7,6,5,6,1.4
P31,6,3,5,1,6,2.05
P32,4,2,2,1,5,2.25
P33,3,6,5,1,7,2.45
P34,4,3,5,2,6,2.5
P35,6,4,5,1,6,1.75
P36,2,4,5,2,7,2.15
P37,4,6,7,6,6,2.05
P38,6,2,2,2,2,2.35
P39,4,6,5,5,2,2.1
P40,6,5,6,3,6,1.4
P41,1,6,4,2,6,2.75
P42,5,7,6,5,6,2.1
P43,5,4,5,1,6,3.15
P44,4,5,6,3,5,2.3
P45,3,6,7,3,3,2.4
P46,4,6,6,1,5,2.25
P47,6,2,7,2,6,2.4
P48,7,3,5,5,7,1.45
P49,4,4,4,3,4,1.75
P50,6,6,7,6,4,1.95
P51,2,3,3,1,5,3.15
P52,4,2,3,4,6,2.4
P53,7,3,4,6,5,1.2
P54,4,3,4,2,5,1.8
P55,5,2,3,5,6,2.6
P56,5,2,6,3,5,1.8
P57,5,7,6,3,5,1.8
P58,6,4,7,3,6,1.7
P59,7,5,6,5,6,1.35
P60,5,5,6,3,5,2.1
P61,6,3,5,3,6,1.95
P62,6,4,6,3,6,2
P63,4,6,6,3,5,2.15
P64,6,6,7,4,5,1.75
P65,5,6,7,3,6,2.3
P66,7,7,6,5,7,1.45
P67,5,3,7,6,7,1.6
P68,5,2,5,2,4,2.6
P69,1,4,7,2,7,3.2
P70,7,4,7,1,7,1.4
P71,5,4,5,3,5,1.95
P72,2,4,5,3,7,1.7
P73,3,4,7,3,7,1.4
P74,5,5,3,1,6,2.25
P75,1,3,6,5,6,2.55
P76,6,6,5,6,7,1.95
P77,4,4,3,3,7,2.9
P78,5,4,6,3,6,2.55
P79,2,5,5,4,4,2.3
P80,6,4,3,3,6,1.6
P81,7,6,5,7,7,1.8
P82,3,5,6,4,6,1.75
P83,3,6,6,6,6,1.85
P84,7,5,2,2,7,2.6
P85,1,3,3,2,4,1.95
P86,3,6,6,5,6,2.15
P87,2,2,3,3,5,2.55
P88,3,4,7,4,1,2.5
P89,2,3,5,2,6,2.95
P90,5,5,7,1,6,2.5
P91,2,3,5,2,6,3.2
P92,5,5,6,2,5,2.1
P93,3,2,7,1,6,1.5
P94,6,5,5,6,6,2.1
P95,5,6,5,2,7,1.7
P96,2,6,4,2,5,2.55
P97,2,6,5,3,5,2.85
P98,3,6,5,5,4,2.4
P99,5,7,6,6,6,1.6
P100,3,5,3,6,7,1.7
P101,6,6,4,2,6,1.9
P102,3,6,5,3,6,2.35
P103,5,3,6,1,7,1.65
P104,2,3,3,2,2,2.65
